Date,Open,High,Low,Close,Adj Close,Volume
18/06/04,274.529999,275.190002,274.26001,274.899994,252.442184,45385200
18/06/05,275.049988,275.529999,274.179993,275.100006,252.625854,51135000
18/06/06,275.790009,277.519989,275.089996,277.399994,254.737991,62732200
18/06/07,277.950012,278.279999,276.339996,277.369995,254.71048,72969400
18/06/08,276.850006,278.25,276.660004,278.190002,255.463455,72139700
18/06/11,278.440002,279.369995,278.309998,278.559998,255.803238,58892500
18/06/12,279.029999,279.329987,278.190002,278.920013,256.13385,72329000
18/06/13,279.190002,279.480011,277.799988,278.029999,255.316544,79070600
18/06/14,279.01001,279.329987,278.059998,278.730011,255.959366,77097600
18/06/15,276.600006,277.51001,275.350006,277.130005,255.632828,120041600
18/06/18,275.48999,276.700012,274.950012,276.559998,255.106995,52917600
18/06/19,274,275.75,273.529999,275.5,254.129211,97531500
18/06/20,276.269989,276.720001,275.589996,275.970001,254.562775,53785500
18/06/21,275.959991,275.980011,273.679993,274.23999,252.966965,71061400
18/06/22,275.660004,275.790009,274.48999,274.73999,253.428116,54898500
18/06/25,273.440002,273.619995,269.100006,271,249.978287,137854200
18/06/26,271.640015,272.559998,270.790009,271.600006,250.531784,68547400
18/06/27,272.26001,273.869995,269.179993,269.350006,248.456268,105110700
18/06/28,269.290009,271.75,268.48999,270.890015,249.876816,76650500
18/06/29,272.119995,273.660004,271.149994,271.279999,250.236588,97592500
18/07/02,269.51001,272.040009,269.23999,271.859985,250.771576,63554800
18/07/03,272.869995,272.980011,270.420013,270.899994,249.886017,42187100
18/07/05,272.170013,273.179993,270.959991,273.109985,251.924576,56925900
18/07/06,273.140015,275.839996,272.709991,275.420013,254.05542,66493700
18/07/09,276.549988,277.959991,276.5,277.899994,256.343109,50550400
18/07/10,278.410004,279.01001,278.079987,278.899994,257.265533,51966800
18/07/11,277.149994,278.040009,276.519989,276.859985,255.383698,77054700
18/07/12,278.279999,279.429993,277.600006,279.369995,257.699066,60124700
18/07/13,279.170013,279.929993,278.660004,279.589996,257.901978,48216000
18/07/16,279.640015,279.799988,278.839996,279.339996,257.671356,48201000
18/07/17,278.470001,280.910004,278.410004,280.470001,258.713715,52315500
18/07/18,280.559998,281.179993,280.059998,281.059998,259.257904,44593500
18/07/19,280.309998,280.73999,279.459991,280,258.280151,61412100
18/07/20,279.769989,280.480011,279.5,279.679993,257.984955,82337700
18/07/23,279.450012,280.429993,279.059998,280.200012,258.464691,47047600
18/07/24,281.790009,282.559998,280.630005,281.609985,259.765289,68026900
18/07/25,281.329987,284.369995,281.279999,284.01001,261.979095,78882900
18/07/26,283.200012,284.109985,283.089996,283.339996,261.361053,57919500
18/07/27,283.709991,283.820007,280.380005,281.420013,259.590027,76768700
18/07/30,281.51001,281.690002,279.359985,279.950012,258.234039,63742500
18/07/31,280.809998,282.019989,280.380005,281.329987,259.506958,68570500
18/08/01,281.559998,282.130005,280.130005,280.859985,259.073456,53853300
18/08/02,279.390015,282.579987,279.160004,282.390015,260.484863,63426400
18/08/03,282.529999,283.660004,282.329987,283.600006,261.600922,53935400
18/08/06,283.640015,284.98999,283.200012,284.640015,262.560242,39400900
18/08/07,285.390015,286.01001,285.23999,285.579987,263.427246,43196600
18/08/08,285.390015,285.910004,284.940002,285.459991,263.316589,42114600
18/08/09,285.529999,285.970001,284.920013,285.070007,262.956879,35717000
18/08/10,283.450012,284.059998,282.359985,283.160004,261.195038,77076000
18/08/13,283.470001,284.160004,281.769989,282.100006,260.217285,65732900
18/08/14,282.920013,284.170013,282.480011,283.899994,261.877655,43842000
18/08/15,282.380005,282.540009,280.160004,281.779999,259.922089,102925400
18/08/16,283.399994,285.040009,283.359985,284.059998,262.025238,69967900
18/08/17,283.829987,285.559998,283.369995,285.059998,262.947662,65618500
18/08/20,285.570007,285.970001,285.059998,285.670013,263.510345,39807500
18/08/21,286.25,287.309998,285.709991,286.339996,264.128296,67272000
18/08/22,285.880005,286.76001,285.579987,286.170013,263.971527,44993300
18/08/23,285.970001,286.940002,285.429993,285.790009,263.620941,49204900
18/08/24,286.440002,287.670013,286.380005,287.51001,265.207611,57487400
18/08/27,288.859985,289.899994,288.679993,289.779999,267.301544,57072400
18/08/28,290.299988,290.420013,289.399994,289.920013,267.430664,46943500
18/08/29,290.160004,291.73999,289.890015,291.480011,268.869598,61485500
18/08/30,290.940002,291.359985,289.630005,290.299988,267.781128,61229500
18/08/31,289.839996,290.809998,289.290009,290.309998,267.790436,66140800
18/09/04,289.839996,290.209991,288.679993,289.809998,267.329193,57594400
18/09/05,289.410004,289.640015,287.890015,289.029999,266.609741,72452400
18/09/06,289.149994,289.48999,287,288.160004,265.807159,65909900
18/09/07,286.980011,288.700012,286.709991,287.600006,265.290588,73524800
18/09/10,288.73999,289.040009,287.880005,288.100006,265.751831,50210900
18/09/11,287.369995,289.549988,286.980011,289.049988,266.628113,50530500
18/09/12,289.059998,289.799988,288.230011,289.119995,266.692719,59810800
18/09/13,290.320007,291.040009,290,290.829987,268.27002,51034200
18/09/14,291.059998,291.269989,290,290.880005,268.316132,55079900
18/09/17,290.820007,290.859985,289.029999,289.339996,266.89566,68244000
18/09/18,289.579987,291.579987,289.549988,290.910004,268.343842,61930400
18/09/19,290.970001,291.690002,290.829987,291.220001,268.629822,49080600
18/09/20,292.640015,293.940002,291.23999,293.579987,270.806824,100360600
18/09/21,293.089996,293.220001,291.809998,291.98999,270.559357,105479700
18/09/24,291.339996,291.5,290.369995,291.019989,269.660553,53409600
18/09/25,291.529999,291.649994,290.480011,290.75,269.410339,44370000
18/09/26,290.910004,292.23999,289.410004,289.880005,268.604218,79739700
18/09/27,290.410004,291.910004,290.100006,290.690002,269.354736,59249500
18/09/28,289.98999,291.279999,289.950012,290.720001,269.382538,70091400
18/10/01,292.109985,292.929993,290.980011,291.730011,270.31839,62078900
18/10/02,291.559998,292.359985,291.140015,291.559998,270.160889,47258200
18/10/03,292.73999,293.209991,291.320007,291.720001,270.309174,64694600
18/10/04,291.179993,291.23999,287.660004,289.440002,268.196472,111545900
18/10/05,289.690002,290.269989,286.220001,287.820007,266.695435,105951700
18/10/08,287.049988,288.220001,285.5,287.820007,266.695435,87742200
18/10/09,287.390015,288.859985,286.769989,287.399994,266.306183,74339000
18/10/10,286.829987,286.910004,277.880005,278.299988,257.874146,214731000
18/10/11,277.079987,278.899994,270.359985,272.170013,252.194107,274840500
18/10/12,276.769989,277.089996,272.369995,275.950012,255.69664,183186500
18/10/15,275.549988,277.040009,274.299988,274.399994,254.260345,102263700
18/10/16,276.600006,280.820007,276.070007,280.399994,259.819977,118255800
18/10/17,280.440002,281.149994,277.559998,280.450012,259.866302,110626000
18/10/18,279.399994,280.070007,274.970001,276.399994,256.113586,134557500
18/10/19,277.130005,279.299988,275.470001,276.25,255.974579,139901600
18/10/22,277,277.359985,274.410004,275.01001,254.825638,82415800
18/10/23,270.950012,274.869995,268.609985,273.609985,253.528336,146352700
18/10/24,273.329987,273.76001,264.700012,265.320007,245.846802,177806700
18/10/25,267.380005,271.809998,266.230011,270.079987,250.257401,138061500
18/10/26,265.920013,271,262.290009,265.329987,245.856049,201574600
18/10/29,268.799988,270.25,259.850006,263.859985,244.493942,160749100
18/10/30,263.670013,268.119995,263.119995,267.769989,248.116928,157116000
18/10/31,270.649994,273.230011,270.119995,270.630005,250.767059,128296300
18/11/01,271.600006,273.730011,270.380005,273.51001,253.435623,99495000
18/11/02,274.75,275.230011,269.589996,271.890015,251.934601,122634100
18/11/05,272.440002,274.01001,271.350006,273.390015,253.324463,65622500
18/11/06,273.320007,275.299988,273.25,275.119995,254.927536,60085900
18/11/07,277.559998,281.100006,277.079987,281.01001,260.385223,102752100
18/11/08,280.109985,281.220001,279.220001,280.5,259.912628,65584900
18/11/09,279.029999,279.23999,276.179993,277.76001,257.37381,98812600
18/11/12,277.190002,277.459991,271.98999,272.570007,252.564651,99673600
18/11/13,273.089996,275.329987,271.25,272.059998,252.092117,98176600
18/11/14,274.160004,274.609985,268.450012,270.200012,250.368698,125335900
18/11/15,268.779999,273.540009,267.01001,273.019989,252.981644,135101400
18/11/16,271.790009,274.75,271.209991,273.730011,253.639511,126668000
18/11/19,273.049988,273.380005,268.070007,269.100006,249.349365,103061700
18/11/20,265.359985,267,263.149994,264.119995,244.734879,136021300
18/11/21,265.859985,267.149994,265.01001,265.019989,245.568817,75563700
18/11/23,263.179993,264.820007,263.070007,263.25,243.928726,42807900
18/11/26,265.779999,267.75,265.339996,267.5,247.866791,79981400
18/11/27,266.339996,268.399994,265.660004,268.399994,248.700714,75502400
18/11/28,269.600006,274.579987,268.329987,274.579987,254.42717,127629600
18/11/29,273.709991,275.549988,272.429993,273.980011,253.871216,82346400
18/11/30,273.809998,276.279999,273.450012,275.649994,255.41861,98204200
18/12/03,280.279999,280.399994,277.51001,279.299988,258.80069,103176300
18/12/04,278.369995,278.850006,269.899994,270.25,250.414917,177986000
18/12/06,265.920013,269.970001,262.440002,269.839996,250.034973,204185400
18/12/07,269.459991,271.220001,262.630005,263.570007,244.22522,161018900
18/12/10,263.369995,265.160004,258.619995,264.070007,244.688538,151445900
18/12/11,267.660004,267.869995,262.480011,264.130005,244.744141,121504400
18/12/12,267.470001,269,265.369995,265.459991,245.976517,97976700
18/12/13,266.519989,267.48999,264.119995,265.369995,245.893112,96662700
